activity_id,user_id,activity_date,session_duration,pages_viewed,feature_used
A0000001,U000001,2025-03-21,11,5,Collaborate
A0000002,U000001,2025-01-07,8,18,Export
A0000003,U000001,2025-01-16,30,3,Comment
A0000004,U000001,2025-04-06,1,5,Template
A0000005,U000001,2025-01-11,5,12,Share
A0000006,U000002,2025-12-31,7,4,Design
A0000007,U000003,2025-10-26,3,3,Design
A0000008,U000003,2025-08-16,8,4,Design
A0000009,U000003,2025-09-19,3,4,Design
A0000010,U000004,2025-06-08,14,4,Design
A0000011,U000004,2025-06-17,42,12,Share
A0000012,U000004,2025-06-21,10,7,Comment
A0000013,U000004,2025-06-14,1,11,Comment
A0000014,U000004,2025-06-30,13,8,Design
A0000015,U000004,2025-06-14,11,14,Collaborate
A0000016,U000004,2025-08-24,4,4,Design
A0000017,U000004,2025-06-07,12,8,Export
A0000018,U000004,2025-06-27,12,4,Collaborate
A0000019,U000004,2025-06-26,6,14,Comment
A0000020,U000004,2025-06-07,32,3,Share
A0000021,U000004,2025-06-13,21,3,Design
A0000022,U000004,2025-06-11,12,7,Design
A0000023,U000004,2025-06-03,8,6,Comment
A0000024,U000004,2025-06-17,17,1,Comment
A0000025,U000004,2025-06-12,4,5,Template
A0000026,U000004,2025-06-03,8,10,Design
A0000027,U000004,2025-06-15,24,12,Template
A0000028,U000004,2025-06-14,5,4,Comment
A0000029,U000004,2025-06-02,4,8,Design
A0000030,U000005,2024-07-16,10,6,Template
A0000031,U000005,2024-07-04,36,9,Comment
A0000032,U000005,2024-08-13,5,22,Comment
A0000033,U000005,2024-07-13,5,7,Template
A0000034,U000005,2024-08-11,6,4,Comment
A0000035,U000005,2024-07-14,12,11,Design
A0000036,U000005,2024-11-12,5,4,Collaborate
A0000037,U000005,2024-07-06,23,19,Design
A0000038,U000005,2024-07-01,5,19,Collaborate
A0000039,U000005,2024-07-28,7,8,Collaborate
A0000040,U000005,2024-09-30,14,10,Design
A0000041,U000005,2024-08-01,13,9,Design
A0000042,U000005,2024-07-03,15,14,Design
A0000043,U000005,2024-07-24,14,13,Collaborate
A0000044,U000005,2024-09-11,2,8,Comment
A0000045,U000005,2024-07-01,18,7,Collaborate
A0000046,U000005,2024-07-06,27,9,Design
A0000047,U000005,2024-08-20,21,19,Comment
A0000048,U000005,2024-09-06,13,4,Export
A0000049,U000005,2024-08-06,15,9,Export
A0000050,U000005,2024-11-21,38,12,Design
A0000051,U000005,2024-07-03,20,8,Design
A0000052,U000005,2024-07-24,5,10,Template
A0000053,U000005,2024-08-04,14,5,Design
A0000054,U000005,2024-08-06,32,16,Collaborate
A0000055,U000005,2024-08-17,13,5,Comment
A0000056,U000005,2024-09-13,12,12,Design
A0000057,U000005,2024-07-14,13,6,Export
A0000058,U000006,2024-07-09,4,1,Template
A0000059,U000006,2024-07-09,4,4,Share
A0000060,U000006,2024-10-12,5,3,Design
A0000061,U000006,2024-09-04,1,1,Design
A0000062,U000006,2024-07-12,5,4,Collaborate
A0000063,U000006,2024-08-22,1,3,Design
A0000064,U000006,2024-07-06,3,2,Export
A0000065,U000006,2024-07-07,3,8,Design
A0000066,U000007,2024-05-16,7,4,Design
A0000067,U000007,2024-06-21,7,3,Design
A0000068,U000007,2024-04-11,9,6,Comment
A0000069,U000007,2024-04-20,1,3,Comment
A0000070,U000007,2024-05-14,3,7,Design
A0000071,U000007,2024-03-31,4,3,Design
A0000072,U000007,2024-08-12,9,3,Design
A0000073,U000007,2024-04-20,6,10,Design
A0000074,U000007,2024-04-02,6,3,Comment
A0000075,U000007,2024-04-19,3,4,Share
A0000076,U000007,2024-04-08,2,4,Comment
A0000077,U000008,2025-11-15,3,4,Design
A0000078,U000008,2025-11-29,11,5,Collaborate
