subscription_id,user_id,payment_date,amount,subscription_type,payment_status
S000001,U000001,2025-01-02,34.84,Monthly,Success
S000002,U000001,2025-01-30,36.48,Monthly,Success
S000003,U000001,2025-03-02,36.26,Monthly,Success
S000004,U000001,2025-04-02,34.0,Monthly,Success
S000005,U000001,2025-04-30,36.37,Monthly,Success
S000006,U000001,2025-06-01,36.42,Monthly,Success
S000007,U000001,2025-07-01,33.56,Monthly,Success
S000008,U000001,2025-07-29,35.93,Monthly,Success
S000009,U000004,2025-05-29,35.87,Monthly,Success
S000010,U000004,2025-06-28,33.93,Monthly,Success
S000011,U000004,2025-07-30,34.82,Monthly,Success
S000012,U000004,2025-08-27,35.74,Monthly,Success
S000013,U000004,2025-09-27,33.52,Monthly,Success
S000014,U000004,2025-10-27,36.1,Monthly,Success
S000015,U000004,2025-11-26,34.12,Monthly,Success
S000016,U000005,2024-07-03,33.76,Monthly,Success
S000017,U000005,2024-08-02,36.35,Monthly,Success
S000018,U000005,2024-08-31,35.85,Monthly,Success
S000019,U000005,2024-10-01,34.26,Monthly,Success
S000020,U000005,2024-10-30,36.64,Monthly,Success
S000021,U000007,2024-03-18,12.04,Monthly,Success
S000022,U000007,2024-04-18,11.89,Monthly,Success
S000023,U000008,2025-10-26,33.9,Monthly,Success
S000024,U000008,2025-11-24,34.45,Monthly,Success
S000025,U000009,2025-06-05,116.16,Annual,Success
S000026,U000010,2025-08-03,36.15,Monthly,Success
S000027,U000010,2025-09-02,36.51,Monthly,Success
S000028,U000011,2024-02-03,1016.02,Annual,Success
S000029,U000012,2025-12-19,34.95,Monthly,Success
S000030,U000017,2024-11-12,334.71,Annual,Success
S000031,U000019,2025-02-10,99.35,Monthly,Success
S000032,U000019,2025-03-12,95.81,Monthly,Success
S000033,U000019,2025-04-12,95.95,Monthly,Success
S000034,U000021,2025-06-06,33.5,Monthly,Success
S000035,U000021,2025-07-07,34.42,Monthly,Success
S000036,U000021,2025-08-05,33.83,Monthly,Success
S000037,U000021,2025-09-03,36.02,Monthly,Failed
S000038,U000024,2024-12-26,36.21,Monthly,Success
S000039,U000024,2025-01-25,34.13,Monthly,Success
S000040,U000024,2025-02-23,35.4,Monthly,Success
S000041,U000024,2025-03-26,35.01,Monthly,Success
S000042,U000024,2025-04-24,33.32,Monthly,Success
S000043,U000024,2025-05-26,35.2,Monthly,Success
S000044,U000024,2025-06-23,35.23,Monthly,Success
S000045,U000024,2025-07-24,34.87,Monthly,Success
S000046,U000027,2024-08-17,121.7,Annual,Success
S000047,U000029,2025-05-31,352.67,Annual,Success
S000048,U000030,2024-03-09,986.79,Annual,Success
S000049,U000030,2025-03-08,1019.08,Annual,Success
S000050,U000032,2024-07-15,117.03,Annual,Success
S000051,U000033,2024-03-27,338.65,Annual,Success
S000052,U000034,2025-12-06,1036.52,Annual,Failed
S000053,U000035,2025-12-20,1038.91,Annual,Success
S000054,U000041,2024-05-28,36.3,Monthly,Success
S000055,U000041,2024-06-28,33.73,Monthly,Success
S000056,U000041,2024-07-27,33.82,Monthly,Success
S000057,U000041,2024-08-26,36.7,Monthly,Success
S000058,U000041,2024-09-26,34.58,Monthly,Success
S000059,U000041,2024-10-25,36.12,Monthly,Success
S000060,U000041,2024-11-25,36.48,Monthly,Success
S000061,U000042,2025-03-26,125.05,Annual,Success
S000062,U000045,2024-10-07,119.22,Annual,Success
S000063,U000049,2025-04-28,962.62,Annual,Success
S000064,U000051,2025-12-18,361.62,Annual,Success
S000065,U000053,2025-12-03,12.53,Monthly,Failed
S000066,U000054,2025-11-09,36.18,Monthly,Success
S000067,U000058,2024-08-10,960.03,Annual,Success
S000068,U000061,2025-01-10,11.51,Monthly,Success
S000069,U000064,2024-12-19,11.82,Monthly,Success
S000070,U000064,2025-01-17,11.93,Monthly,Success
S000071,U000064,2025-02-18,12.58,Monthly,Success
S000072,U000065,2024-10-20,33.37,Monthly,Success
S000073,U000065,2024-11-20,34.64,Monthly,Success
