user_id,register_date,country,device_type,acquisition_channel,plan_type,company_size
U000001,2024-12-31,India,Desktop,Social Media,Pro,1000+
U000002,2025-12-07,US,Mobile,Organic,Free,1-10
U000003,2025-08-14,US,Mobile,Google Ads,Free,51-200
U000004,2025-05-29,India,Desktop,Social Media,Pro,11-50
U000005,2024-07-01,UK,Desktop,Organic,Pro,1-10
U000006,2024-07-01,US,Desktop,Email,Free,1-10
U000007,2024-03-17,India,Mobile,Google Ads,Basic,11-50
U000008,2025-10-25,UK,Desktop,Email,Pro,11-50
U000009,2025-05-30,US,Desktop,Google Ads,Basic,11-50
U000010,2025-08-01,Germany,Desktop,Social Media,Pro,201-1000
U000011,2024-01-29,US,Mobile,Social Media,Enterprise,201-1000
U000012,2025-12-17,Canada,Desktop,Google Ads,Pro,51-200
U000013,2025-10-08,Canada,Mobile,Email,Free,1-10
U000014,2024-08-23,China,Desktop,Organic,Free,51-200
U000015,2024-07-26,US,Mobile,Email,Free,1-10
U000016,2024-07-27,Brazil,Desktop,Email,Free,1-10
U000017,2024-11-07,France,Desktop,Google Ads,Pro,11-50
U000018,2025-04-12,Brazil,Tablet,Email,Free,51-200
U000019,2025-02-10,US,Mobile,Social Media,Enterprise,11-50
U000020,2024-10-28,Japan,Desktop,Email,Free,1-10
U000021,2025-06-05,France,Desktop,Google Ads,Pro,51-200
U000022,2024-06-15,India,Mobile,Organic,Free,51-200
U000023,2024-10-29,Japan,Mobile,Email,Free,1-10
U000024,2024-12-25,Germany,Desktop,Social Media,Pro,51-200
U000025,2025-02-26,India,Mobile,Social Media,Free,1-10
U000026,2025-09-12,US,Mobile,Google Ads,Free,201-1000
U000027,2024-08-11,Japan,Desktop,Organic,Basic,11-50
U000028,2025-04-06,US,Mobile,Social Media,Free,11-50
U000029,2025-05-25,Germany,Desktop,Google Ads,Pro,51-200
U000030,2024-03-03,US,Tablet,Organic,Enterprise,201-1000
U000031,2025-06-03,India,Mobile,Organic,Free,1-10
U000032,2024-07-15,US,Mobile,Organic,Basic,11-50
U000033,2024-03-26,China,Desktop,Social Media,Pro,1000+
U000034,2025-12-06,France,Desktop,Google Ads,Enterprise,201-1000
U000035,2025-12-15,US,Desktop,Google Ads,Enterprise,1000+
U000036,2025-09-25,US,Mobile,Email,Free,1-10
U000037,2024-11-08,US,Mobile,Google Ads,Free,51-200
U000038,2024-05-02,Canada,Desktop,Organic,Free,1-10
U000039,2025-07-18,India,Mobile,Email,Free,1-10
U000040,2025-02-15,Germany,Mobile,Google Ads,Free,1-10
U000041,2024-05-28,US,Desktop,Google Ads,Pro,201-1000
U000042,2025-03-24,Japan,Desktop,Google Ads,Basic,51-200
U000043,2024-02-17,Canada,Mobile,Email,Free,1-10
U000044,2025-11-16,France,Desktop,Google Ads,Free,1-10
U000045,2024-10-02,Japan,Mobile,Social Media,Basic,1-10
U000046,2025-07-05,US,Desktop,Google Ads,Free,1-10
U000047,2024-11-13,US,Tablet,Organic,Free,1-10
U000048,2025-04-09,US,Desktop,Social Media,Free,1-10
U000049,2025-04-26,US,Desktop,Social Media,Enterprise,201-1000
U000050,2024-07-29,US,Desktop,Organic,Free,11-50
U000051,2025-12-17,US,Desktop,Organic,Pro,201-1000
U000052,2025-09-07,UK,Desktop,Organic,Free,1-10
U000053,2025-12-02,Australia,Desktop,Google Ads,Basic,51-200
U000054,2025-11-09,Japan,Tablet,Google Ads,Pro,1-10
U000055,2025-05-28,France,Tablet,Email,Free,11-50
U000056,2025-11-23,China,Desktop,Social Media,Free,1-10
U000057,2024-04-22,US,Mobile,Google Ads,Free,11-50
U000058,2024-08-08,China,Desktop,Email,Enterprise,201-1000
U000059,2024-03-02,US,Mobile,Organic,Free,1-10
U000060,2024-11-24,Japan,Mobile,Google Ads,Free,11-50
U000061,2025-01-10,UK,Desktop,Google Ads,Basic,1-10
U000062,2024-10-12,Australia,Mobile,Organic,Free,1-10
U000063,2025-10-06,US,Mobile,Email,Free,11-50
U000064,2024-12-18,US,Desktop,Google Ads,Basic,51-200
U000065,2024-10-20,Australia,Tablet,Organic,Pro,51-200
U000066,2025-04-24,US,Tablet,Organic,Free,1-10
U000067,2024-06-16,China,Desktop,Organic,Pro,51-200
U000068,2025-09-21,China,Mobile,Social Media,Pro,51-200
U000069,2024-04-06,France,Tablet,Social Media,Enterprise,201-1000
U000070,2025-12-25,Australia,Desktop,Social Media,Free,51-200
U000071,2025-09-05,Australia,Desktop,Organic,Free,1-10
U000072,2024-08-10,US,Desktop,Email,Pro,1-10
U000073,2024-01-08,France,Mobile,Social Media,Free,1-10
U000074,2025-09-29,Japan,Mobile,Organic,Free,1-10
U000075,2025-07-31,Japan,Desktop,Social Media,Enterprise,201-1000
U000076,2025-08-12,US,Tablet,Social Media,Free,1-10
U000077,2025-09-05,Japan,Mobile,Social Media,Free,201-1000
U000078,2024-04-05,Australia,Mobile,Organic,Free,1-10
U000079,2024-12-19,Canada,Desktop,Organic,Enterprise,201-1000
U000080,2024-05-21,Germany,Desktop,Google Ads,Free,1-10
U000081,2025-10-24,US,Mobile,Email,Basic,51-200
U000082,2025-06-12,UK,Desktop,Social Media,Pro,201-1000
U000083,2024-11-28,France,Mobile,Social Media,Free,1-10
U000084,2024-03-24,China,Mobile,Google Ads,Free,51-200
U000085,2024-11-13,Germany,Desktop,Google Ads,Free,1-10
U000086,2024-11-24,US,Mobile,Social Media,Basic,11-50
U000087,2025-08-13,Germany,Desktop,Email,Free,11-50
U000088,2025-06-21,Germany,Desktop,Google Ads,Enterprise,1000+
U000089,2025-11-05,Canada,Desktop,Social Media,Basic,201-1000
U000090,2025-03-09,Japan,Desktop,Google Ads,Basic,51-200
U000091,2024-05-25,UK,Desktop,Email,Free,1000+
U000092,2025-08-04,India,Mobile,Google Ads,Basic,1-10
U000093,2025-08-30,US,Mobile,Organic,Free,1-10
U000094,2025-05-06,Australia,Desktop,Social Media,Free,11-50
U000095,2025-09-05,UK,Mobile,Social Media,Pro,201-1000
U000096,2025-03-23,Germany,Desktop,Social Media,Basic,11-50
U000097,2025-04-11,UK,Desktop,Google Ads,Basic,1-10
U000098,2025-02-07,China,Mobile,Google Ads,Free,11-50
U000099,2024-02-05,China,Mobile,Google Ads,Basic,201-1000
U000100,2024-05-13,China,Mobile,Email,Free,1-10
U000101,2024-02-13,US,Desktop,Organic,Free,1-10
U000102,2025-06-20,UK,Mobile,Email,Basic,1-10
U000103,2024-11-15,US,Mobile,Google Ads,Free,1-10
U000104,2025-04-02,Japan,Tablet,Social Media,Pro,51-200
U000105,2025-11-16,US,Desktop,Google Ads,Free,51-200
U000106,2024-09-24,India,Mobile,Organic,Free,1-10
U000107,2025-01-26,Canada,Mobile,Google Ads,Free,1-10
U000108,2025-08-27,Canada,Tablet,Social Media,Basic,11-50
U000109,2024-09-06,Germany,Desktop,Organic,Pro,11-50
U000110,2024-04-09,Germany,Desktop,Google Ads,Free,1-10
U000111,2024-10-27,US,Desktop,Google Ads,Free,11-50
U000112,2024-07-06,China,Desktop,Organic,Enterprise,1000+
U000113,2025-11-27,France,Desktop,Organic,Basic,11-50
