cohort_month,months_since_register,cohort_users,active_users,retention_pct
2024-05-01 00:00:00,1,153,148,96.73
2025-05-01 00:00:00,0,293,244,83.28
2024-04-01 00:00:00,1,153,140,91.5
2024-01-01 00:00:00,5,118,13,11.02
2025-06-01 00:00:00,2,273,166,60.81
2025-11-01 00:00:00,1,297,219,73.74
2024-10-01 00:00:00,1,212,201,94.81
2025-01-01 00:00:00,4,249,72,28.92
2025-07-01 00:00:00,1,322,278,86.34
2024-09-01 00:00:00,4,190,42,22.11
2025-09-01 00:00:00,3,303,79,26.07
2024-07-01 00:00:00,2,191,152,79.58
2024-03-01 00:00:00,3,162,83,51.23
2025-03-01 00:00:00,1,242,225,92.98
2025-02-01 00:00:00,2,221,165,74.66
2024-03-01 00:00:00,6,162,6,3.7
2024-11-01 00:00:00,7,203,4,1.97
2024-08-01 00:00:00,5,174,23,13.22
2024-02-01 00:00:00,5,128,15,11.72
2024-12-01 00:00:00,7,245,2,0.82
2024-06-01 00:00:00,7,162,2,1.23
2024-10-01 00:00:00,3,212,105,49.53
2024-01-01 00:00:00,2,118,94,79.66
2024-12-01 00:00:00,4,245,48,19.59
2025-10-01 00:00:00,2,322,151,46.89
2024-11-01 00:00:00,4,203,54,26.6
2025-08-01 00:00:00,2,286,146,51.05
2025-04-01 00:00:00,0,245,207,84.49
2024-03-01 00:00:00,1,162,153,94.44
2025-07-01 00:00:00,3,322,89,27.64
2025-09-01 00:00:00,1,303,235,77.56
2024-07-01 00:00:00,5,191,15,7.85
2024-05-01 00:00:00,3,153,67,43.79
2024-02-01 00:00:00,2,128,104,81.25
2024-04-01 00:00:00,3,153,65,42.48
2025-03-01 00:00:00,3,242,103,42.56
2024-06-01 00:00:00,4,162,51,31.48
2025-06-01 00:00:00,5,273,19,6.96
2024-05-01 00:00:00,6,153,4,2.61
2024-08-01 00:00:00,2,174,146,83.91
2024-10-01 00:00:00,6,212,4,1.89
2025-02-01 00:00:00,9,221,1,0.45
2025-03-01 00:00:00,6,242,11,4.55
2024-04-01 00:00:00,6,153,6,3.92
2025-02-01 00:00:00,5,221,22,9.95
2025-01-01 00:00:00,7,249,1,0.4
2024-09-01 00:00:00,7,190,4,2.11
2024-07-01 00:00:00,9,191,1,0.52
2025-01-01 00:00:00,8,249,1,0.4
2024-09-01 00:00:00,0,190,175,92.11
2025-06-01 00:00:00,1,273,247,90.48
2024-07-01 00:00:00,1,191,187,97.91
2024-08-01 00:00:00,3,174,90,51.72
2024-10-01 00:00:00,2,212,163,76.89
2025-02-01 00:00:00,1,221,212,95.93
2025-05-01 00:00:00,4,293,54,18.43
2025-07-01 00:00:00,2,322,185,57.45
2025-03-01 00:00:00,2,242,195,80.58
2025-01-01 00:00:00,0,249,228,91.57
2024-01-01 00:00:00,3,118,65,55.08
2024-05-01 00:00:00,2,153,125,81.7
2024-03-01 00:00:00,5,162,16,9.88
2024-04-01 00:00:00,2,153,118,77.12
2024-02-01 00:00:00,3,128,73,57.03
2025-08-01 00:00:00,3,286,79,27.62
2024-08-01 00:00:00,6,174,7,4.02
2024-01-01 00:00:00,6,118,2,1.69
2025-04-01 00:00:00,8,245,5,2.04
2024-03-01 00:00:00,9,162,1,0.62
2025-04-01 00:00:00,7,245,2,0.82
2024-02-01 00:00:00,6,128,1,0.78
2025-10-01 00:00:00,0,322,202,62.73
2024-01-01 00:00:00,0,118,108,91.53
2025-04-01 00:00:00,2,245,170,69.39
2024-03-01 00:00:00,4,162,44,27.16
2024-11-01 00:00:00,1,203,195,96.06
2024-08-01 00:00:00,0,174,161,92.53
2024-12-01 00:00:00,1,245,232,94.69
2025-08-01 00:00:00,0,286,211,73.78
2024-09-01 00:00:00,3,190,93,48.95
2024-02-01 00:00:00,0,128,122,95.31
2025-05-01 00:00:00,5,293,21,7.17
2025-01-01 00:00:00,3,249,135,54.22
2024-06-01 00:00:00,1,162,157,96.91
2025-01-01 00:00:00,6,249,15,6.02
2024-09-01 00:00:00,6,190,11,5.79
