cohort_month,segment_type,segment,period,cohort_size,retained_users,retention_pct
2025-10-01 00:00:00,overall,all,30,322,265,82.3
2024-08-01 00:00:00,overall,all,30,174,171,98.28
2025-08-01 00:00:00,overall,all,30,286,269,94.06
2024-02-01 00:00:00,overall,all,30,128,128,100.0
2024-01-01 00:00:00,overall,all,30,118,117,99.15
2024-04-01 00:00:00,overall,all,1,153,49,32.03
2024-10-01 00:00:00,overall,all,1,212,62,29.25
2025-07-01 00:00:00,overall,all,1,322,70,21.74
2025-11-01 00:00:00,overall,all,1,297,21,7.07
2025-03-01 00:00:00,overall,all,1,242,71,29.34
2024-05-01 00:00:00,overall,all,1,153,61,39.87
2024-12-01 00:00:00,overall,all,7,245,215,87.76
2024-11-01 00:00:00,overall,all,7,203,178,87.68
2024-06-01 00:00:00,overall,all,7,162,146,90.12
2024-04-01 00:00:00,overall,all,30,153,149,97.39
2025-03-01 00:00:00,overall,all,30,242,238,98.35
2025-07-01 00:00:00,overall,all,30,322,309,95.96
2024-10-01 00:00:00,overall,all,30,212,207,97.64
2025-11-01 00:00:00,overall,all,30,297,216,72.73
2024-05-01 00:00:00,overall,all,30,153,152,99.35
2024-01-01 00:00:00,overall,all,1,118,49,41.53
2024-02-01 00:00:00,overall,all,1,128,59,46.09
2025-08-01 00:00:00,overall,all,1,286,48,16.78
2024-08-01 00:00:00,overall,all,1,174,60,34.48
2025-10-01 00:00:00,overall,all,1,322,23,7.14
2025-05-01 00:00:00,overall,all,7,293,247,84.3
2025-02-01 00:00:00,overall,all,30,221,218,98.64
2024-07-01 00:00:00,overall,all,30,191,189,98.95
2025-12-01 00:00:00,overall,all,30,11,10,90.91
2025-06-01 00:00:00,overall,all,30,273,260,95.24
2024-03-01 00:00:00,overall,all,1,162,61,37.65
2025-09-01 00:00:00,overall,all,1,303,36,11.88
2025-01-01 00:00:00,overall,all,7,249,224,89.96
2024-09-01 00:00:00,overall,all,7,190,164,86.32
2025-01-01 00:00:00,overall,all,30,249,245,98.39
2024-09-01 00:00:00,overall,all,30,190,187,98.42
2025-04-01 00:00:00,overall,all,1,245,64,26.12
2025-12-01 00:00:00,overall,all,7,282,82,29.08
2024-07-01 00:00:00,overall,all,7,191,174,91.1
2025-02-01 00:00:00,overall,all,7,221,184,83.26
2025-06-01 00:00:00,overall,all,7,273,204,74.73
2024-03-01 00:00:00,overall,all,30,162,159,98.15
2025-09-01 00:00:00,overall,all,30,303,271,89.44
2025-06-01 00:00:00,overall,all,1,273,54,19.78
2025-02-01 00:00:00,overall,all,1,221,65,29.41
2024-07-01 00:00:00,overall,all,1,191,71,37.17
2025-12-01 00:00:00,overall,all,1,350,19,5.43
2025-04-01 00:00:00,overall,all,7,245,191,77.96
2025-04-01 00:00:00,overall,all,30,245,237,96.73
2025-01-01 00:00:00,overall,all,1,249,91,36.55
2024-09-01 00:00:00,overall,all,1,190,63,33.16
2024-03-01 00:00:00,overall,all,7,162,142,87.65
2025-09-01 00:00:00,overall,all,7,303,164,54.13
2024-11-01 00:00:00,overall,all,30,203,201,99.01
2024-06-01 00:00:00,overall,all,30,162,162,100.0
2024-12-01 00:00:00,overall,all,30,245,241,98.37
2025-05-01 00:00:00,overall,all,1,293,72,24.57
2025-08-01 00:00:00,overall,all,7,286,185,64.69
2025-10-01 00:00:00,overall,all,7,322,139,43.17
2024-01-01 00:00:00,overall,all,7,118,110,93.22
2024-08-01 00:00:00,overall,all,7,174,147,84.48
2024-02-01 00:00:00,overall,all,7,128,115,89.84
2025-05-01 00:00:00,overall,all,30,293,288,98.29
2024-11-01 00:00:00,overall,all,1,203,72,35.47
2024-12-01 00:00:00,overall,all,1,245,90,36.73
2024-06-01 00:00:00,overall,all,1,162,59,36.42
2024-10-01 00:00:00,overall,all,7,212,185,87.26
2024-05-01 00:00:00,overall,all,7,153,138,90.2
2025-07-01 00:00:00,overall,all,7,322,239,74.22
2025-03-01 00:00:00,overall,all,7,242,206,85.12
2025-11-01 00:00:00,overall,all,7,297,96,32.32
