month_start,paying_users,mrr,arr
2024-10-01,617,20624.73,247496.79
2025-06-01,951,35277.3,423327.58
2025-08-01,1046,39206.14,470473.66
2026-01-01,707,27991.94,335903.31
2026-09-01,211,8248.83,98985.97
2024-08-01,499,17062.58,204750.9
2024-09-01,547,18175.56,218106.76
2025-07-01,1029,37958.61,455503.37
2024-03-01,195,6109.93,73319.11
2025-05-01,942,34670.26,416043.07
2025-10-01,1051,39370.51,472446.1
2025-11-01,978,36743.24,440918.89
2024-06-01,364,12179.98,146159.71
2026-04-01,559,22022.99,264275.88
2026-08-01,285,11049.78,132597.36
2026-11-01,78,3035.46,36425.54
2024-01-01,58,1736.77,20841.23
2024-02-01,123,3916.27,46995.27
2024-07-01,445,15175.55,182106.56
2024-11-01,672,22703.79,272445.49
2024-12-01,745,26032.04,312384.43
2025-02-01,807,28339.04,340068.44
2025-09-01,1052,38681.09,464173.07
2025-12-01,888,33871.73,406460.73
2026-02-01,657,25843.98,310127.81
2026-03-01,611,24442.3,293307.61
2026-05-01,503,20166.48,241997.75
2026-07-01,354,13890.04,166680.51
2025-03-01,858,30734.69,368816.24
2024-04-01,250,8372.53,100470.35
2026-06-01,431,17262.1,207145.19
2026-10-01,148,5702.66,68431.95
2026-12-01,0,,
2024-05-01,313,10095.83,121149.94
2025-01-01,796,28004.64,336055.7
2025-04-01,896,32624.28,391491.41
